,Unnamed: 0,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,DISTANCE_M,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DALUREN,DAY_OF_WEEK,HOUR,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos,HOUR_sin,HOUR_cos,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
1,66,2023-01-01,657,600.0,O,Ut,V,0.0,2023-01-01 16:19:00+00:00,2023-01-01 16:19:03+00:00,3.0,1,,0,0,ICM,6.0,1.0,2023-01-01 16:18:07+00:00,2130.0,2086.0,,-53.0,-56.0,True,6,16,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,2187.0,2143.0,44.0,perfect
7,373,2023-01-01,665,600.0,O,Ut,V,0.0,2023-01-01 18:19:00+00:00,2023-01-01 18:19:10+00:00,10.0,1,,0,0,ICM,7.0,1.0,2023-01-01 18:18:07+00:00,2130.0,2141.0,,-53.0,-63.0,True,6,18,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,2180.0,2191.0,-11.0,perfect
8,618,2023-01-01,571,500.0,O,Ut,V,0.0,2023-01-01 19:49:00+00:00,2023-01-01 19:49:22+00:00,22.0,1,,0,0,ICM,7.0,1.0,2023-01-01 19:48:07+00:00,2130.0,2113.0,,-53.0,-75.0,True,6,19,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,0.2588190451025203,2168.0,2151.0,17.0,perfect
16,1265,2023-01-01,689,600.0,O,Ut,V,0.0,2023-01-02 00:19:00+00:00,2023-01-02 00:19:10+00:00,10.0,1,,0,0,ICM,3.0,0.0,2023-01-02 00:18:03+00:00,2220.0,2258.0,,-57.0,-67.0,True,0,0,0.0,1.0,0.0,1.0,2270.0,2308.0,-38.0,perfect
19,1572,2023-01-01,685,600.0,O,Ut,V,0.0,2023-01-01 23:19:00+00:00,2023-01-01 23:19:22+00:00,22.0,1,,0,0,ICM,3.0,0.0,2023-01-01 23:18:07+00:00,2184.0,2202.0,,-53.0,-75.0,True,6,23,-0.7818314824680299,0.6234898018587334,-0.2588190451025215,0.965925826289068,2222.0,2240.0,-18.0,perfect
23,1815,2023-01-01,587,500.0,O,Ut,V,0.0,2023-01-01 23:49:00+00:00,2023-01-01 23:48:55+00:00,-5.0,1,,0,0,ICM,7.0,1.0,2023-01-01 23:48:04+00:00,2040.0,2035.0,,-56.0,-51.0,True,6,23,-0.7818314824680299,0.6234898018587334,-0.2588190451025215,0.965925826289068,2105.0,2100.0,5.0,perfect
45,6490,2023-01-01,3031,3000.0,O,Ah,V,0.0,2023-01-01 10:35:00+00:00,2023-01-01 10:35:18+00:00,18.0,1,,0,0,VIRM,6.0,1.0,2023-01-01 10:34:07+00:00,1998.0,2018.0,,-53.0,-71.0,True,6,10,-0.7818314824680299,0.6234898018587334,0.4999999999999999,-0.8660254037844387,2040.0,2060.0,-20.0,perfect
57,7556,2023-01-01,3057,3000.0,O,Ah,V,0.0,2023-01-01 17:05:00+00:00,2023-01-01 17:05:05+00:00,5.0,1,,0,0,VIRM,12.0,1.0,2023-01-01 17:04:07+00:00,2052.0,2046.0,,-53.0,-58.0,True,6,17,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,-0.2588190451025206,2107.0,2101.0,6.0,perfect
63,8200,2023-01-01,3083,3000.0,O,Ah,V,0.0,2023-01-01 23:35:00+00:00,2023-01-01 23:35:10+00:00,10.0,1,,0,0,VIRM,6.0,1.0,2023-01-01 23:34:07+00:00,2052.0,2055.0,,-53.0,-63.0,True,6,23,-0.7818314824680299,0.6234898018587334,-0.2588190451025215,0.965925826289068,2102.0,2105.0,-3.0,perfect
67,8708,2023-01-01,3091,3000.0,O,Ah,V,0.0,2023-01-02 01:38:00+00:00,2023-01-02 01:38:13+00:00,13.0,1,,0,0,VIRM,6.0,0.0,2023-01-02 01:37:31+00:00,2178.0,2071.0,,-29.0,-42.0,True,0,1,0.0,1.0,0.2588190451025207,0.9659258262890684,2225.0,2118.0,107.0,too late
72,9449,2023-01-01,3039,3000.0,O,Ah,V,0.0,2023-01-01 12:35:00+00:00,2023-01-01 12:35:07+00:00,7.0,1,,0,0,VIRM,6.0,1.0,2023-01-01 12:34:06+00:00,1998.0,2011.0,,-54.0,-61.0,True,6,12,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,2051.0,2064.0,-13.0,perfect
97,39429,2023-01-02,587,500.0,O,Ut,V,0.0,2023-01-02 23:49:00+00:00,2023-01-02 23:50:42+00:00,102.0,1,,0,0,VIRM,6.0,1.0,2023-01-02 23:48:09+00:00,2184.0,2260.0,,-51.0,-153.0,True,0,23,0.0,1.0,-0.2588190451025215,0.965925826289068,2142.0,2218.0,-76.0,too early
101,39693,2023-01-02,547,500.0,O,Ut,V,0.0,2023-01-02 13:49:00+00:00,2023-01-02 13:48:54+00:00,-6.0,1,,0,0,ICM,7.0,1.0,2023-01-02 13:48:07+00:00,2184.0,2109.0,,-53.0,-47.0,True,0,13,0.0,1.0,-0.2588190451025208,-0.9659258262890684,2250.0,2175.0,75.0,too late
114,40423,2023-01-02,669,600.0,O,Ut,V,0.0,2023-01-02 19:19:00+00:00,2023-01-02 19:20:37+00:00,97.0,1,,0,0,ICM,7.0,1.0,2023-01-02 19:18:08+00:00,2130.0,2182.0,,-52.0,-149.0,True,0,19,0.0,1.0,-0.9659258262890684,0.2588190451025203,2093.0,2145.0,-52.0,perfect
124,40760,2023-01-02,681,600.0,O,Ut,V,0.0,2023-01-02 22:19:00+00:00,2023-01-02 22:19:02+00:00,2.0,1,,0,0,ICM,7.0,0.0,2023-01-02 22:18:07+00:00,2130.0,2077.0,,-53.0,-55.0,True,0,22,0.0,1.0,-0.5000000000000004,0.8660254037844384,2188.0,2135.0,53.0,perfect
128,40977,2023-01-02,571,500.0,O,Ut,V,0.0,2023-01-02 19:49:00+00:00,2023-01-02 19:49:24+00:00,24.0,1,,0,0,ICM,7.0,1.0,2023-01-02 19:48:07+00:00,2184.0,2164.0,,-53.0,-77.0,True,0,19,0.0,1.0,-0.9659258262890684,0.2588190451025203,2220.0,2200.0,20.0,perfect
133,41272,2023-01-02,625,600.0,O,Ut,V,0.0,2023-01-02 08:19:00+00:00,2023-01-02 08:19:22+00:00,22.0,1,,0,0,ICM,10.0,1.0,2023-01-02 08:18:07+00:00,2184.0,2134.0,,-53.0,-75.0,False,0,8,0.0,1.0,0.8660254037844387,-0.4999999999999998,2222.0,2172.0,50.0,perfect
136,41547,2023-01-02,540,500.0,E,Ut,V,0.0,2023-01-02 13:18:00+00:00,2023-01-02 13:18:06+00:00,6.0,1,,0,0,DDZ,4.0,1.0,2023-01-02 13:17:07+00:00,2340.0,2421.0,,-53.0,-59.0,True,0,13,0.0,1.0,-0.2588190451025208,-0.9659258262890684,2394.0,2475.0,-81.0,too early
137,41567,2023-01-02,575,500.0,O,Ut,V,0.0,2023-01-02 20:49:30+00:00,2023-01-02 20:49:38+00:00,8.0,1,,0,0,DDZ,4.0,1.0,2023-01-02 20:48:07+00:00,2214.0,2197.0,,-83.0,-91.0,True,0,20,0.0,1.0,-0.8660254037844386,0.5000000000000001,2266.0,2249.0,17.0,perfect
139,41641,2023-01-02,673,600.0,O,Ut,V,0.0,2023-01-02 20:19:00+00:00,2023-01-02 20:19:03+00:00,3.0,1,,0,0,ICM,7.0,1.0,2023-01-02 20:18:07+00:00,2220.0,2210.0,,-53.0,-56.0,True,0,20,0.0,1.0,-0.8660254037844386,0.5000000000000001,2277.0,2267.0,10.0,perfect
140,41656,2023-01-02,685,600.0,O,Ut,V,0.0,2023-01-02 23:19:00+00:00,2023-01-02 23:19:14+00:00,14.0,1,,0,0,ICM,3.0,0.0,2023-01-02 23:18:07+00:00,2130.0,2135.0,,-53.0,-67.0,True,0,23,0.0,1.0,-0.2588190451025215,0.965925826289068,2176.0,2181.0,-5.0,perfect
176,50320,2023-01-02,3075,3000.0,O,Ah,V,0.0,2023-01-02 21:35:00+00:00,2023-01-02 21:35:06+00:00,6.0,1,,0,0,VIRM,6.0,1.0,2023-01-02 21:34:06+00:00,1998.0,2012.0,,-54.0,-60.0,True,0,21,0.0,1.0,-0.7071067811865477,0.7071067811865474,2052.0,2066.0,-14.0,perfect
179,50631,2023-01-02,3028,3000.0,E,Ah,V,0.0,2023-01-02 09:32:00+00:00,2023-01-02 09:32:11+00:00,11.0,1,,0,0,VIRM,4.0,1.0,2023-01-02 09:31:07+00:00,2340.0,2182.0,,-53.0,-64.0,True,0,9,0.0,1.0,0.7071067811865476,-0.7071067811865475,2389.0,2231.0,158.0,too late
183,50871,2023-01-02,3091,3000.0,O,Ah,V,0.0,2023-01-03 01:35:00+00:00,2023-01-03 01:35:41+00:00,41.0,1,,0,0,VIRM,6.0,0.0,2023-01-03 01:34:07+00:00,2052.0,2059.0,,-53.0,-94.0,True,1,1,0.7818314824680298,0.6234898018587336,0.2588190451025207,0.9659258262890684,2071.0,2078.0,-7.0,perfect
210,114287,2023-01-02,11780,11700.0,E,Ut,V,0.0,2023-01-02 22:58:00+00:00,2023-01-02 22:58:09+00:00,9.0,1,,0,0,ICM,3.0,1.0,2023-01-02 22:57:08+00:00,2460.0,2443.0,,-52.0,-61.0,True,0,22,0.0,1.0,-0.5000000000000004,0.8660254037844384,2511.0,2494.0,17.0,perfect
236,116636,2023-01-03,535,500.0,O,Ut,V,0.0,2023-01-03 10:49:00+00:00,2023-01-03 10:48:46+00:00,-14.0,1,,0,0,VIRM,6.0,1.0,2023-01-03 10:48:07+00:00,2130.0,2112.0,,-53.0,-39.0,True,1,10,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,2204.0,2186.0,18.0,perfect
237,116655,2023-01-03,559,500.0,O,Ut,V,0.0,2023-01-03 16:49:00+00:00,2023-01-03 16:49:10+00:00,10.0,1,,0,0,VIRM,6.0,1.0,2023-01-03 16:48:07+00:00,2184.0,2170.0,,-53.0,-63.0,False,1,16,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,2234.0,2220.0,14.0,perfect
250,117021,2023-01-03,653,600.0,O,Ut,V,0.0,2023-01-03 15:19:00+00:00,2023-01-03 15:19:23+00:00,23.0,1,,0,0,ICM,10.0,1.0,2023-01-03 15:18:07+00:00,2130.0,2136.0,,-53.0,-76.0,True,1,15,0.7818314824680298,0.6234898018587336,-0.7071067811865471,-0.7071067811865479,2167.0,2173.0,-6.0,perfect
256,117273,2023-01-03,564,500.0,E,Ut,V,0.0,2023-01-03 19:18:00+00:00,2023-01-03 19:18:14+00:00,14.0,1,,0,0,ICM,7.0,1.0,2023-01-03 19:17:07+00:00,2340.0,2293.0,,-53.0,-67.0,True,1,19,0.7818314824680298,0.6234898018587336,-0.9659258262890684,0.2588190451025203,2386.0,2339.0,47.0,perfect
257,117276,2023-01-03,567,500.0,O,Ut,V,0.0,2023-01-03 18:49:00+00:00,2023-01-03 18:48:58+00:00,-2.0,1,,0,0,ICM,7.0,1.0,2023-01-03 18:48:07+00:00,2130.0,2097.0,,-53.0,-51.0,True,1,18,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210294e-16,2192.0,2159.0,33.0,perfect
260,117325,2023-01-03,637,600.0,O,Ut,V,0.0,2023-01-03 11:19:00+00:00,2023-01-03 11:19:09+00:00,9.0,1,,0,0,DDZ,6.0,1.0,2023-01-03 11:18:07+00:00,2184.0,2065.0,,-53.0,-62.0,True,1,11,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,2235.0,2116.0,119.0,too late
275,117946,2023-01-03,579,500.0,O,Ut,V,0.0,2023-01-03 21:49:00+00:00,2023-01-03 21:48:37+00:00,-23.0,1,,0,0,ICM,6.0,1.0,2023-01-03 21:48:07+00:00,2184.0,2154.0,,-53.0,-30.0,True,1,21,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474,2267.0,2237.0,30.0,perfect
279,118190,2023-01-03,523,500.0,O,Ut,V,0.0,2023-01-03 07:49:00+00:00,2023-01-03 07:49:06+00:00,6.0,1,,0,0,ICM,7.0,1.0,2023-01-03 07:48:07+00:00,2130.0,2130.0,,-53.0,-59.0,False,1,7,0.7818314824680298,0.6234898018587336,0.9659258262890684,-0.2588190451025206,2184.0,2184.0,0.0,perfect
313,126307,2023-01-03,3031,3000.0,O,Ah,V,0.0,2023-01-03 10:35:00+00:00,2023-01-03 10:35:09+00:00,9.0,1,,0,0,VIRM,6.0,1.0,2023-01-03 10:34:07+00:00,2010.0,2020.0,,-53.0,-62.0,True,1,10,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,2061.0,2071.0,-10.0,perfect
