,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DAY_IN_WEEK,24-TIME,DALUREN,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
40,2023-03-06,519,500.0,O,Ut,V,2023-03-06 06:49:00+00:00,2023-03-06 06:49:38+00:00,38.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 06:48:07+00:00,420.0,446.0,2023-03-06 06:49:38+00:00,-53.0,-91.0,0,2024-05-15 06:49:00,False,442.0,468.0,-26.0,perfect
78,2023-03-06,523,500.0,O,Ut,V,2023-03-06 07:49:00+00:00,2023-03-06 07:48:58+00:00,-2.0,1,nan,0,0,ICM,8.0,1.0,2023-03-06 07:48:08+00:00,420.0,363.0,2023-03-06 07:48:58+00:00,-52.0,-50.0,0,2024-05-15 07:49:00,False,482.0,425.0,57.0,perfect
94,2023-03-06,524,500.0,E,Ut,V,2023-03-06 09:18:00+00:00,2023-03-06 09:18:04+00:00,4.0,1,nan,0,0,DDZ,6.0,0.0,2023-03-06 09:17:07+00:00,420.0,384.0,2023-03-06 09:18:04+00:00,-53.0,-57.0,0,2024-05-15 09:18:00,True,476.0,440.0,36.0,perfect
106,2023-03-06,527,500.0,O,Ut,V,2023-03-06 08:49:00+00:00,2023-03-06 08:49:15+00:00,15.0,1,nan,0,0,ICM,6.0,1.0,2023-03-06 08:48:07+00:00,420.0,419.0,2023-03-06 08:49:15+00:00,-53.0,-68.0,0,2024-05-15 08:49:00,False,465.0,464.0,1.0,perfect
134,2023-03-06,531,500.0,O,Ut,V,2023-03-06 09:49:00+00:00,2023-03-06 09:49:11+00:00,11.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 09:48:07+00:00,420.0,473.0,2023-03-06 09:49:11+00:00,-53.0,-64.0,0,2024-05-15 09:49:00,True,469.0,522.0,-53.0,perfect
150,2023-03-06,532,500.0,E,Ut,V,2023-03-06 11:18:00+00:00,2023-03-06 11:18:07+00:00,7.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 11:17:07+00:00,420.0,267.0,2023-03-06 11:18:07+00:00,-53.0,-60.0,0,2024-05-15 11:18:00,True,473.0,320.0,153.0,too late
162,2023-03-06,535,500.0,O,Ut,V,2023-03-06 10:49:00+00:00,2023-03-06 10:49:00+00:00,0.0,1,nan,0,0,DDZ,6.0,1.0,2023-03-06 10:48:07+00:00,420.0,436.0,2023-03-06 10:49:00+00:00,-53.0,-53.0,0,2024-05-15 10:49:00,True,480.0,496.0,-16.0,perfect
178,2023-03-06,536,500.0,E,Ut,V,2023-03-06 12:18:00+00:00,2023-03-06 12:17:50+00:00,-10.0,1,nan,0,0,ICM,8.0,1.0,2023-03-06 12:17:07+00:00,420.0,315.0,2023-03-06 12:17:50+00:00,-53.0,-43.0,0,2024-05-15 12:18:00,True,490.0,385.0,105.0,too late
206,2023-03-06,540,500.0,E,Ut,V,2023-03-06 13:18:00+00:00,2023-03-06 13:18:37+00:00,37.0,1,nan,0,0,ICM,6.0,1.0,2023-03-06 13:17:07+00:00,420.0,352.0,2023-03-06 13:18:37+00:00,-53.0,-90.0,0,2024-05-15 13:18:00,True,443.0,375.0,68.0,too late
218,2023-03-06,543,500.0,O,Ut,V,2023-03-06 12:49:00+00:00,2023-03-06 12:49:02+00:00,2.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 12:48:07+00:00,420.0,418.0,2023-03-06 12:49:02+00:00,-53.0,-55.0,0,2024-05-15 12:49:00,True,478.0,476.0,2.0,perfect
234,2023-03-06,544,500.0,E,Ut,V,2023-03-06 14:18:00+00:00,2023-03-06 14:18:13+00:00,13.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 14:17:07+00:00,420.0,356.0,2023-03-06 14:18:13+00:00,-53.0,-66.0,0,2024-05-15 14:18:00,True,467.0,403.0,64.0,too late
246,2023-03-06,547,500.0,O,Ut,V,2023-03-06 13:49:00+00:00,2023-03-06 13:49:11+00:00,11.0,1,nan,0,0,ICM,8.0,1.0,2023-03-06 13:48:07+00:00,420.0,424.0,2023-03-06 13:49:11+00:00,-53.0,-64.0,0,2024-05-15 13:49:00,True,469.0,473.0,-4.0,perfect
262,2023-03-06,548,500.0,E,Ut,V,2023-03-06 15:18:00+00:00,2023-03-06 15:18:15+00:00,15.0,1,nan,0,0,DDZ,6.0,1.0,2023-03-06 15:17:04+00:00,420.0,370.0,2023-03-06 15:18:15+00:00,-56.0,-71.0,0,2024-05-15 15:18:00,True,465.0,415.0,50.0,perfect
274,2023-03-06,551,500.0,O,Ut,V,2023-03-06 14:49:00+00:00,2023-03-06 14:49:12+00:00,12.0,1,nan,0,0,ICM,6.0,1.0,2023-03-06 14:48:07+00:00,420.0,526.0,2023-03-06 14:49:12+00:00,-53.0,-65.0,0,2024-05-15 14:49:00,True,468.0,574.0,-106.0,too early
290,2023-03-06,552,500.0,E,Ut,V,2023-03-06 16:18:00+00:00,2023-03-06 16:18:04+00:00,4.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 16:17:07+00:00,420.0,400.0,2023-03-06 16:18:04+00:00,-53.0,-57.0,0,2024-05-15 16:18:00,False,476.0,456.0,20.0,perfect
302,2023-03-06,555,500.0,O,Ut,V,2023-03-06 15:49:00+00:00,2023-03-06 15:49:07+00:00,7.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 15:48:07+00:00,420.0,453.0,2023-03-06 15:49:07+00:00,-53.0,-60.0,0,2024-05-15 15:49:00,True,473.0,506.0,-33.0,perfect
318,2023-03-06,556,500.0,E,Ut,V,2023-03-06 17:18:00+00:00,2023-03-06 17:18:05+00:00,5.0,1,nan,0,0,ICM,10.0,1.0,2023-03-06 17:17:07+00:00,420.0,336.0,2023-03-06 17:18:05+00:00,-53.0,-58.0,0,2024-05-15 17:18:00,False,475.0,391.0,84.0,too late
330,2023-03-06,559,500.0,O,Ut,V,2023-03-06 16:49:00+00:00,2023-03-06 16:50:06+00:00,66.0,1,nan,0,0,DDZ,6.0,1.0,2023-03-06 16:48:08+00:00,420.0,595.0,2023-03-06 16:50:06+00:00,-52.0,-118.0,0,2024-05-15 16:49:00,False,414.0,589.0,-175.0,too early
346,2023-03-06,560,500.0,E,Ut,V,2023-03-06 18:18:00+00:00,2023-03-06 18:18:06+00:00,6.0,1,nan,0,0,ICM,8.0,1.0,2023-03-06 18:17:07+00:00,420.0,413.0,2023-03-06 18:18:06+00:00,-53.0,-59.0,0,2024-05-15 18:18:00,False,474.0,467.0,7.0,perfect
358,2023-03-06,563,500.0,O,Ut,V,2023-03-06 17:49:00+00:00,2023-03-06 17:49:22+00:00,22.0,1,nan,0,0,ICM,10.0,1.0,2023-03-06 17:48:40+00:00,420.0,298.0,2023-03-06 17:49:22+00:00,-20.0,-42.0,0,2024-05-15 17:49:00,False,458.0,336.0,122.0,too late
374,2023-03-06,564,500.0,E,Ut,V,2023-03-06 19:18:00+00:00,2023-03-06 19:18:21+00:00,21.0,1,nan,0,0,ICM,6.0,1.0,2023-03-06 19:17:07+00:00,420.0,450.0,2023-03-06 19:18:21+00:00,-53.0,-74.0,0,2024-05-15 19:18:00,True,459.0,489.0,-30.0,perfect
386,2023-03-06,567,500.0,O,Ut,V,2023-03-06 18:49:00+00:00,2023-03-06 18:49:01+00:00,1.0,1,nan,0,0,ICM,6.0,1.0,2023-03-06 18:48:07+00:00,420.0,430.0,2023-03-06 18:49:01+00:00,-53.0,-54.0,0,2024-05-15 18:49:00,True,479.0,489.0,-10.0,perfect
402,2023-03-06,568,500.0,E,Ut,V,2023-03-06 20:18:00+00:00,2023-03-06 20:18:20+00:00,20.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 20:17:07+00:00,420.0,353.0,2023-03-06 20:18:20+00:00,-53.0,-73.0,0,2024-05-15 20:18:00,True,460.0,393.0,67.0,too late
